name,acronym,AP_location,DV_location,ML_location,avIndex
Periaqueductal gray,PAG,-4.2,2.57,0.09,839
Pontine reticular nucleus,PRNr,-4.2,5.36,0.42,932
Pontine reticular nucleus,PRNr,-4.2,5.43,0.74,932
Midbrain reticular nucleus,MRN,-4.2,3.67,1.04,827
Anterior tegmental nucleus,AT,-4.28,4.55,-0.29,861
Pontine reticular nucleus,PRNr,-4.36,5.67,-0.87,932
Pontine reticular nucleus,PRNr,-4.36,5.57,-0.84,932
Midbrain,MB,-4.36,4.35,0.14,807
Midbrain reticular nucleus,MRN,-4.36,3.98,0.77,827
Motor nucleus of trigeminal,V,-4.44,5.25,-1.77,920
Cuneiform nucleus,CUN,-4.44,3.27,-1.04,853
Dorsal nucleus raphe,DR,-4.44,3.49,0.09,882
Periaqueductal gray,PAG,-4.44,3.94,0.37,839
Superior colliculus motor related deep gray layer,SCdg,-4.44,2.32,0.86,832
Midbrain,MB,-4.44,3,1.04,807
Peritrigeminal zone,P5,-4.44,5.24,1.34,921
Peritrigeminal zone,P5,-4.44,5.23,1.51,921
Peritrigeminal zone,P5,-4.52,5.44,-1.4,921
Pontine reticular nucleus,PRNr,-4.52,5.38,-1.16,932
Pontine reticular nucleus,PRNr,-4.52,5.12,-0.86,932
Pontine reticular nucleus,PRNr,-4.52,5.49,-0.78,932
Pontine reticular nucleus,PRNr,-4.52,5.52,-0.74,932
Pontine reticular nucleus caudal part,PRNc,-4.52,5.75,-0.58,914
Pontine reticular nucleus,PRNr,-4.52,5.49,-0.5,932
Midbrain,MB,-4.52,4.07,-0.23,807
Pontine reticular nucleus caudal part,PRNc,-4.52,6.38,0.72,914
Periaqueductal gray,PAG,-4.52,3.2,0.87,839
Midbrain,MB,-4.52,2.83,1.11,807
Peritrigeminal zone,P5,-4.52,5.05,1.33,921
Peritrigeminal zone,P5,-4.52,5.78,1.41,921
Peritrigeminal zone,P5,-4.52,5.32,1.47,921
Motor nucleus of trigeminal,V,-4.6,5.41,-1.71,920
Motor nucleus of trigeminal,V,-4.6,5.6,-1.67,920
